acqMode,acqName,acqfromDt,acqtoDt,afterAcqSharesNo,afterAcqSharesPer,befAcqSharesNo,befAcqSharesPer,company,date,intimDt,personCategory,secAcq,secType,secVal,securitiesTypePost,symbol,tdpTransactionType
Market Purchase,Sanjay Aggarwal,2026-03-23,2026-03-23,14292013,4.68,14287289,4.68,Paramount Communications Limited,2026-03-25,2026-03-25,Promoters,4724,Equity Shares,157545,Equity Shares,PARACABLES,Buy
Market Purchase,Sandeep Aggarwal,2026-03-23,2026-03-23,14230033,4.66,14210033,4.66,Paramount Communications Limited,2026-03-25,2026-03-25,Promoters,20000,Equity Shares,664648,Equity Shares,PARACABLES,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2561710,13.79,2561684,13.79,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,26,Equity Shares,7856,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2561684,13.79,2561612,13.79,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,72,Equity Shares,21327,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2561730,13.79,2561725,13.79,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,5,Equity Shares,1525,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2561830,13.79,2561730,13.79,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,100,Equity Shares,30288,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2561930,13.79,2561830,13.79,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,100,Equity Shares,30265,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2562030,13.79,2561930,13.79,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,100,Equity Shares,30290,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2563030,13.79,2562030,13.79,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,1000,Equity Shares,303473,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2563292,13.79,2563030,13.79,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,262,Equity Shares,80184,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2564017,13.8,2563292,13.79,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,725,Equity Shares,225660,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2564876,13.8,2564017,13.8,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,859,Equity Shares,268856,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2564976,13.8,2564876,13.8,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,100,Equity Shares,33800,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2565976,13.81,2564976,13.8,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,1000,Equity Shares,341550,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2566076,13.81,2565976,13.81,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,100,Equity Shares,29635,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2566176,13.81,2566076,13.81,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,100,Equity Shares,29879,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2566276,13.81,2566176,13.81,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,100,Equity Shares,30118,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2566376,13.81,2566276,13.81,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,100,Equity Shares,30170,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2567376,13.82,2566376,13.81,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,1000,Equity Shares,305130,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2568376,13.82,2567376,13.82,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,1000,Equity Shares,305811,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2569376,13.83,2568376,13.82,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,1000,Equity Shares,307309,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2570265,13.83,2569376,13.83,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,889,Equity Shares,281860,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2570417,13.83,2570265,13.83,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,152,Equity Shares,50049,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2571417,13.84,2570417,13.83,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,1000,Equity Shares,340829,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2572417,13.84,2571417,13.84,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,1000,Equity Shares,341335,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2573417,13.85,2572417,13.84,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,1000,Equity Shares,340519,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2561612,13.79,2561611,13.79,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,1,Equity Shares,295,Equity Shares,NINSYS,Buy
Market Purchase,Rachana Niraj Gemawat,2026-03-24,2026-03-24,2561725,13.79,2561710,13.79,Nintec Systems Limited,2026-03-25,2026-03-24,Promoter Group,15,Equity Shares,4620,Equity Shares,NINSYS,Buy
Market Purchase,KIRAN PODDAR,2026-03-23,2026-03-23,70623,0.16,67623,0.16,Mayur Uniquoters Ltd,2026-03-25,2026-03-24,Promoters,3000,Equity Shares,1475981,Equity Shares,MAYURUNIQ,Buy
Market Purchase,NAVIN CHAND SUCHANTI,2026-03-23,2026-03-23,3307366,6.45,3244366,6.33,Sinclairs Hotels Limited,2026-03-25,2026-03-25,Promoters,63000,Equity Shares,4542570,Equity Shares,SINCLAIR,Buy
Market Purchase,VIJAY KUMAR KAUSHIK,2026-03-24,2026-03-24,4112178,21.69,4068500,21.46,Vibhor Steel Tubes Limited,2026-03-25,2026-03-25,Promoters,43678,Equity Shares,4808880,Equity Shares,VSTL,Buy
Market Purchase,PRATIMA SANDHIR,2026-03-24,2026-03-24,369815,1.95,367315,1.94,Vibhor Steel Tubes Limited,2026-03-25,2026-03-25,Promoter Group,2500,Equity Shares,273941,Equity Shares,VSTL,Buy
Market Purchase,Vipin Prakash Mangal,2026-03-23,2026-03-23,41712512,12.65,41402534,12.56,Mangalam Global Enterprise Limited,2026-03-25,2026-03-24,Promoters,309978,Equity Shares,3595677,Equity Shares,MGEL,Buy
Market Purchase,Vipin Prakash Mangal,2026-03-23,2026-03-23,41402534,12.56,37677800,11.43,Mangalam Global Enterprise Limited,2026-03-25,2026-03-24,Promoters,3724734,Equity Shares,42930321,Equity Shares,MGEL,Buy
Market Purchase,Paresh Khandwala,2026-03-19,2026-03-19,287492,1.89,285992,1.88,Khandwala Securities Limited,2026-03-25,2026-03-20,Promoter Group,1500,Equity Shares,24256,Equity Shares,KHANDSE,Buy
Market Purchase,Piggero Investments Private Limited,2026-03-17,2026-03-17,323744,2.12,323644,2.12,Khandwala Securities Limited,2026-03-25,2026-03-18,Promoter Group,100,Equity Shares,1675,Equity Shares,KHANDSE,Buy
Market Purchase,Piggero Investments Private Limited,2026-03-12,2026-03-12,317844,2.08,317594,2.08,Khandwala Securities Limited,2026-03-25,2026-03-13,Promoter Group,250,Equity Shares,4603,Equity Shares,KHANDSE,Buy
Market Purchase,Piggero Investments Private Limited,2026-03-11,2026-03-11,317594,2.08,317144,2.08,Khandwala Securities Limited,2026-03-25,2026-03-12,Promoter Group,450,Equity Shares,8303,Equity Shares,KHANDSE,Buy
Market Purchase,Piggero Investments Private Limited,2026-03-10,2026-03-10,317144,2.08,315214,2.07,Khandwala Securities Limited,2026-03-25,2026-03-11,Promoter Group,1930,Equity Shares,34480,Equity Shares,KHANDSE,Buy
Market Purchase,Piggero Investments Private Limited,2026-03-09,2026-03-09,315214,2.07,308442,2.02,Khandwala Securities Limited,2026-03-25,2026-03-10,Promoter Group,6772,Equity Shares,120944,Equity Shares,KHANDSE,Buy
Market Purchase,Piggero Investments Private Limited,2026-03-06,2026-03-06,308442,2.02,307442,2.02,Khandwala Securities Limited,2026-03-25,2026-03-09,Promoter Group,1000,Equity Shares,17856,Equity Shares,KHANDSE,Buy
Market Purchase,Piggero Investments Private Limited,2026-03-05,2026-03-05,307442,2.02,306241,2.01,Khandwala Securities Limited,2026-03-25,2026-03-06,Promoter Group,1201,Equity Shares,21283,Equity Shares,KHANDSE,Buy
Market Purchase,Khandwala Commodity & Derivatives Private Limited,2026-02-24,2026-02-24,133492,0.88,131947,0.87,Khandwala Securities Limited,2026-03-25,2026-02-25,Promoter Group,1545,Equity Shares,27073,Equity Shares,KHANDSE,Buy
Market Purchase,Piggero Investments Private Limited,2026-03-02,2026-03-02,305139,2,300686,1.97,Khandwala Securities Limited,2026-03-25,2026-03-03,Promoter Group,4453,Equity Shares,73152,Equity Shares,KHANDSE,Buy
Market Purchase,Piggero Investments Private Limited,2026-03-04,2026-03-04,306241,2.01,305139,2,Khandwala Securities Limited,2026-03-25,2026-03-05,Promoter Group,1102,Equity Shares,18750,Equity Shares,KHANDSE,Buy
Market Purchase,Piggero Investments Private Limited,2026-03-13,2026-03-13,323644,2.12,317844,2.12,Khandwala Securities Limited,2026-03-25,2026-03-14,Promoter Group,5800,Equity Shares,97024,Equity Shares,KHANDSE,Buy
Market Purchase,Mukesh Sangla,2026-03-23,2026-03-23,1123432,3.82,1118925,3.8,Signet Industries Limited,2026-03-25,2026-03-23,Director,4507,Equity Shares,198443,Equity Shares,SIGIND,Buy
Market Purchase,Mukesh Sangla,2026-03-20,2026-03-20,1118925,3.8,1117087,3.8,Signet Industries Limited,2026-03-25,2026-03-22,Director,1838,Equity Shares,81240,Equity Shares,SIGIND,Buy
Market Purchase,Premier Polyplast And Processors Limited,2026-03-24,2026-03-24,14028022,13.39,13858022,13.23,Premier Polyfilm Limited,2026-03-25,2026-03-25,Promoter Group,170000,Equity Shares,10007900,Equity Shares,PREMIERPOL,Buy
Market Purchase,GIRISHKUMAR OCHCHHAVLAL RAVAL,2026-03-24,2026-03-24,6128781,32.94,6125881,32.93,Rachana Infrastructure Limited,2026-03-25,2026-03-25,Promoters,2900,Equity Shares,102196,Equity Shares,RILINFRA,Buy
Market Purchase,D L MILLAR & CO LTD,2026-03-24,2026-03-24,14929752,14.25,14759502,14.09,Premier Polyfilm Limited,2026-03-25,2026-03-25,Promoter Group,170250,Equity Shares,10060072,Equity Shares,PREMIERPOL,Buy
Market Purchase,MIDASTECH VENTURES PRIVATE LIMITED,2026-03-24,2026-03-24,18372520,36.09,18362963,36.07,Global Education Limited,2026-03-25,2026-03-25,Promoters,9557,Equity Shares,881663,Equity Shares,GLOBAL,Buy
Market Purchase,Odd & Even Trades & Finance Limited,2026-03-23,2026-03-24,24330715,18.16,24300530,18.13,Maharashtra Seamless Limited,2026-03-25,2026-03-25,Promoter Group,30185,Equity Shares,16418936,Equity Shares,MAHSEAMLES,Buy
Market Purchase,Sanjay Sharma,2026-03-23,2026-03-23,5645630,2.29,5585630,2.26,Aye Finance Limited,2026-03-25,2026-03-24,Director,60000,Equity Shares,6049200,Equity Shares,AYE,Buy
Market Sale,Leela Manilal Chheda,2026-03-20,2026-03-20,27180,0.26,72780,0.7,Lamosaic India Limited,2026-03-24,2026-03-23,Promoter Group,45600,Equity Shares,1082010,Equity Shares,LAMOSAIC,Sell
Market Sale,Jyoti Jitesh Mamaniya,2026-03-23,2026-03-23,30780,0.3,72780,0.7,Lamosaic India Limited,2026-03-24,2026-03-24,Promoter Group,42000,Equity Shares,994890,Equity Shares,LAMOSAIC,Sell
Market Purchase,S.L COMMERCIAL PRIVATE LIMITED,2026-03-23,2026-03-23,1744140,8.5,1542140,7.52,Ecoline Exim Limited,2026-03-24,2026-03-24,Promoters,202000,Equity Shares,28066418,Equity Shares,ECOLINE,Buy
Market Purchase,DIVYA PLY AGENCY PRIVATE LIMITED,,,699492,2.85,565000,2.31,Euro Panel Products Limited,2026-03-24,,Promoter Group,134492,Equity Shares,18691394,Equity Shares,EUROBOND,Buy
Market Sale,Hazel Infra Limited,2026-03-18,2026-03-19,47361253,89.9,50000000,94.91,Swan Defence and Heavy Industries Limited,2026-03-24,2026-03-24,Promoters,2638747,Equity Shares,4901411736,Equity Shares,SWANDEF,Sell
Market Purchase,Gallantt Industry Private Limited,2026-03-23,2026-03-23,2575475,1.07,2565475,1.06,Gallantt Ispat Limited,2026-03-24,2026-03-24,Promoter Group,10000,Equity Shares,5324000,Equity Shares,GALLANTT,Buy
Market Purchase,Nirmal V. Shah,2026-03-20,2026-03-20,6991413,25.99,6981413,25.96,Chembond Chemicals Limited,2026-03-24,2026-03-20,Promoters,10000,Equity Shares,1283500,Equity Shares,CHEMBONDCH,Buy
Market Purchase,Abhishek Bhatia,2026-03-23,2026-03-23,1701300,4.02,1694500,4,Tree House Education & Accessories Limited,2026-03-24,2026-03-24,Promoter Group,6800,Equity Shares,57868,Equity Shares,TREEHOUSE,Buy
Market Purchase,Yash Parekh,2026-03-24,2026-03-24,4659397,8.92,4534397,8.68,Gem Aromatics Limited,2026-03-24,2026-03-24,Promoters,125000,Equity Shares,19712500,Equity Shares,GEMAROMA,Buy
Market Purchase,SHRADHA REALTY LIMITED,2026-03-23,2026-03-23,10726204,71.44,10723804,71.42,Active Infrastructures Limited,2026-03-24,2026-03-24,Promoters,2400,Equity Shares,428419,Equity Shares,ACTIVEINFR,Buy
Market Purchase,Gandhar Coals & Mines Private Limited,2026-03-20,2026-03-20,1683210,1.72,1633210,1.67,Gandhar Oil Refinery (India) Limited,2026-03-24,2026-03-23,Promoter Group,50000,Equity Shares,6637654,Equity Shares,GANDHAR,Buy
Market Purchase,Sambhav Starch Products Pvt Ltd,2026-03-23,2026-03-23,10701250,5.87,10661250,5.85,Sanstar Limited,2026-03-24,2026-03-24,Promoter Group,40000,Equity Shares,3233758,Equity Shares,SANSTAR,Buy
Market Purchase,Priya Paul,2026-03-23,2026-03-23,47075,0.02,18200,0.01,Apeejay Surrendra Park Hotels Limited,2026-03-24,2026-03-23,Director,28875,Equity Shares,2984231,Equity Shares,PARKHOTELS,Buy
Market Purchase,SOHAN SANJEEV SHIRGAOKAR,2026-03-23,2026-03-24,1334945,1.18,1109430,0.99,The Ugar Sugar Works Limited,2026-03-24,2026-03-24,Promoters,225515,Equity Shares,8244370,Equity Shares,UGARSUGAR,Buy
Market Purchase,PANKAJKUMAR HASTIMAL JAGAWAT,2026-03-23,2026-03-24,14384600,59.57,14350400,59.43,Utssav CZ Gold Jewels Limited,2026-03-24,2026-03-24,Promoters,34200,Equity Shares,6885769,Equity Shares,UTSSAV,Buy
Market Purchase,Premier Polyplast And Processors Limited,2026-03-23,2026-03-23,13858022,13.23,13691022,13.07,Premier Polyfilm Limited,2026-03-24,2026-03-24,Promoter Group,167000,Equity Shares,9847990,Equity Shares,PREMIERPOL,Buy
Market Sale,TARUN DHIR (Partner of M/s Arun Enterprises),2026-03-23,2026-03-23,57966575,3.54,77966575,4.77,Rama Steel Tubes Limited,2026-03-24,2026-03-24,Promoter Group,20000000,Equity Shares,93578000,Equity Shares,RAMASTEEL,Sell
Market Purchase,BHAMINI INFRASTRUCTURE PRIVATE LIMITED,2026-03-23,2026-03-23,525900,2.83,522900,2.81,Rachana Infrastructure Limited,2026-03-24,2026-03-24,Promoter Group,3000,Equity Shares,106710,Equity Shares,RILINFRA,Buy
Market Purchase,MIDASTECH VENTURES PRIVATE LIMITED,2026-03-23,2026-03-23,18362963,36.07,18356486,36.06,Global Education Limited,2026-03-24,2026-03-24,Promoters,6477,Equity Shares,596142,Equity Shares,GLOBAL,Buy
Market Purchase,Brahma Suppliers Private Limited,2026-03-23,2026-03-23,34810000,32.92,34750000,32.87,Tiger Logistics (India) Limited,2026-03-24,2026-03-24,Promoter Group,60000,Equity Shares,1474626,Equity Shares,TIGERLOGS,Buy
Market Purchase,Sanjay Sharma,2026-03-20,2026-03-20,5585630,2.26,5545630,2.25,Aye Finance Limited,2026-03-24,2026-03-20,Director,40000,Equity Shares,4250400,Equity Shares,AYE,Buy
Market Purchase,D L MILLAR & CO LTD,2026-03-23,2026-03-23,14759502,14.09,14756472,14.08,Premier Polyfilm Limited,2026-03-24,2026-03-24,Promoter Group,3030,Equity Shares,178406,Equity Shares,PREMIERPOL,Buy
Market Purchase,D L MILLAR & CO LTD,2026-03-23,2026-03-23,14756472,14.08,14750467,14.08,Premier Polyfilm Limited,2026-03-24,2026-03-24,Promoter Group,6005,Equity Shares,353574,Equity Shares,PREMIERPOL,Buy
Market Purchase,Riyaz Ganji,2026-03-23,2026-03-23,4230756,16.06,4228305,16.05,Libas Consumer Products Limited,2026-03-24,2026-03-24,Promoters,2451,Equity Shares,24239,Equity Shares,LIBAS,Buy
Market Purchase,GIRISHKUMAR OCHCHHAVLAL RAVAL,2026-03-23,2026-03-23,6125881,32.93,6119781,32.89,Rachana Infrastructure Limited,2026-03-24,2026-03-24,Promoters,6100,Equity Shares,217343,Equity Shares,RILINFRA,Buy
Market Purchase,KIRAN PODDAR,2026-03-20,2026-03-20,67623,0.16,65623,0.15,Mayur Uniquoters Ltd,2026-03-24,2026-03-23,Promoters,2000,Equity Shares,1018572,Equity Shares,MAYURUNIQ,Buy
Market Purchase,MADHAV DOSHI,2026-03-17,2026-03-17,1123449,12.56,1117392,12.48,Madhav Marbles and Granites Limited,2026-03-23,2026-03-19,Director,6057,Equity Shares,219175,Equity Shares,MADHAV,Buy
Market Sale,Vama Sundari Investments (Delhi) Private Limited,2026-03-19,2026-03-20,1199665350,44.21,1199625000,44.21,HCL Technologies Limited,2026-03-23,2026-03-23,Promoters,40350,Equity Shares,53636073,Equity Shares,HCLTECH,Buy
Market Sale,Vama Sundari Investments (Delhi) Private Limited,2026-03-17,2026-03-18,1199625000,44.21,1199576736,44.21,HCL Technologies Limited,2026-03-23,2026-03-19,Promoters,48264,Equity Shares,63700019,Equity Shares,HCLTECH,Buy
Market Purchase,Mr Lalit Agarwal,2026-03-20,2026-03-23,1010408,1.27,941288,1.18,V-Mart Retail Limited,2026-03-23,2026-03-23,Director,69120,Equity Shares,34871731,Equity Shares,VMART,Buy
Market Purchase,PLACID LIMITED,2026-03-16,2026-03-19,1219922,39.4,1217068,39.31,The Peria Karamalai Tea & Produce Company Limited,2026-03-23,2026-03-23,Promoter Group,2854,Equity Shares,2369443,Equity Shares,PKTEA,Buy
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-03-20,2026-03-20,1377000,12.38,1386250,12.47,Parin Enterprises Limited,2026-03-23,2026-03-23,Promoter Group,9250,Equity Shares,5489690,Equity Shares,PARIN,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-03-19,2026-03-19,1386250,12.47,1387000,12.47,Parin Enterprises Limited,2026-03-23,2026-03-23,Promoter Group,750,Equity Shares,469013,Equity Shares,PARIN,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-03-17,2026-03-17,1387000,12.47,1390750,12.51,Parin Enterprises Limited,2026-03-23,2026-03-19,Promoter Group,3750,Equity Shares,2334863,Equity Shares,PARIN,Sell
Market Purchase,Vardan Capital Private Limited,2026-03-23,2026-03-23,25200,0.18,24000,0.17,Jainik Power Cables Limited,2026-03-23,2026-03-23,Promoter Group,1200,Equity Shares,132240,Equity Shares,JAINIK,Buy
Market Sale,Maheshbhai Naranbhai Patel,2026-03-19,2026-03-19,303850,2.47,323850,2.63,Magson Retail And Distribution Limited,2026-03-23,2026-03-23,Promoter Group,20000,Equity Shares,2798000,Equity Shares,MAGSON,Sell
Market Purchase,Govind Vishwanath Gadgil,2026-03-23,2026-03-23,7075424,22.33,7062669,22.29,PNGS Reva Diamond Jewellery Limited,2026-03-23,2026-03-23,Promoters,12755,Equity Shares,4465397,Equity Shares,PNGSREVA,Buy
Market Purchase,Ashapura International Limited,2026-03-20,2026-03-20,8835136,7.38,7535136,6.3,ORIENT CERATECH LIMITED,2026-03-23,2026-03-23,Promoter Group,1300000,Equity Shares,50626030,Equity Shares,ORIENTCER,Buy
Market Sale,BOMBAY MINERALS LIMITED,2026-03-20,2026-03-20,29542453,24.69,30842453,25.78,ORIENT CERATECH LIMITED,2026-03-23,2026-03-23,Promoters,1300000,Equity Shares,50626020,Equity Shares,ORIENTCER,Sell
Market Purchase,ELECTROSTEEL THERMAL COAL LIMITED,2026-03-20,2026-03-20,21100000,3.41,20500000,3.32,Electrosteel Castings Limited,2026-03-23,2026-03-23,Promoter Group,600000,Equity Shares,45385107,Equity Shares,ELECTCAST,Buy
Market Purchase,Abhishek Bhatia,2026-03-20,2026-03-20,1694500,4,1556100,3.68,Tree House Education & Accessories Limited,2026-03-23,2026-03-23,Promoter Group,138400,Equity Shares,1237296,Equity Shares,TREEHOUSE,Buy
Market Purchase,Krishna Kumar Choudhary,2026-03-20,2026-03-20,1438687,2.18,1435636,2.18,Rashi Peripherals Limited,2026-03-23,2026-03-23,Director,3051,Equity Shares,1044127,Equity Shares,RPTECH,Buy
Market Purchase,Krishna Kumar Choudhary,2026-03-20,2026-03-20,1435636,2.18,1435529,2.18,Rashi Peripherals Limited,2026-03-23,2026-03-23,Director,107,Equity Shares,36594,Equity Shares,RPTECH,Buy
Market Purchase,Sanjay Goenka,2026-03-20,2026-03-20,9688378,18.93,9686878,18.92,Hindcon Chemicals Limited,2026-03-23,2026-03-23,Promoters,1500,Equity Shares,27491,Equity Shares,HINDCON,Buy
Market Purchase,Vansh Goenka,2026-03-20,2026-03-20,2925586,5.72,2924086,5.72,Hindcon Chemicals Limited,2026-03-23,2026-03-23,Promoters,1500,Equity Shares,27516,Equity Shares,HINDCON,Buy
Market Purchase,Harsh A mehta,2026-03-20,2026-03-20,517018,5.28,513018,5.24,Diamines & Chemicals Limited,2026-03-23,2026-03-23,Promoters,4000,Equity Shares,879992,Equity Shares,DIAMINESQ,Buy
Market Purchase,Mohak A Mehta,2026-03-20,2026-03-20,508478,5.2,504478,5.16,Diamines & Chemicals Limited,2026-03-23,2026-03-23,Promoters,4000,Equity Shares,880000,Equity Shares,DIAMINESQ,Buy
Market Purchase,Cherry A Mehta,2026-03-20,2026-03-20,1083247,11.07,1079247,11.03,Diamines & Chemicals Limited,2026-03-23,2026-03-23,Promoters,4000,Equity Shares,879998,Equity Shares,DIAMINESQ,Buy
Market Purchase,Amit M Mehta,2026-03-20,2026-03-20,1284916,13.13,1280916,13.09,Diamines & Chemicals Limited,2026-03-23,2026-03-23,Promoters,4000,Equity Shares,879946,Equity Shares,DIAMINESQ,Buy
Market Purchase,Riyaz Ganji,2026-03-20,2026-03-20,4228305,16.05,4198305,15.94,Libas Consumer Products Limited,2026-03-23,2026-03-23,Promoters,30000,Equity Shares,303489,Equity Shares,LIBAS,Buy
Market Purchase,BANWARI LAL MITTAL,2026-03-19,2026-03-20,10781355,33.89,10776223,33.88,Health X Platform Limited,2026-03-23,2026-03-21,Promoters,5132,Equity Shares,1444315,Equity Shares,HEALTHX,Buy
Market Purchase,KIRAN PODDAR,2026-03-19,2026-03-19,65623,0.15,50623,0.12,Mayur Uniquoters Ltd,2026-03-23,2026-03-21,Promoters,15000,Equity Shares,7507226,Equity Shares,MAYURUNIQ,Buy
Market Purchase,R V Shekar,2026-03-19,2026-03-19,17757565,24.14,17754149,24.14,Lancor Holdings Limited,2026-03-23,2026-03-21,Promoters,3416,Equity Shares,68320,Equity Shares,LANCORHOL,Buy
Market Purchase,R V Shekar,2026-03-20,2026-03-20,17758557,24.14,17757565,24.14,Lancor Holdings Limited,2026-03-23,2026-03-21,Promoters,992,Equity Shares,19840,Equity Shares,LANCORHOL,Buy
Market Purchase,JSL OVERSEAS HOLDING LTD,2026-03-19,2026-03-20,140567269,17.05,140486018,17.04,Jindal Stainless Limited,2026-03-23,2026-03-23,Promoter Group,81251,Equity Shares,0,Equity Shares,JSL,Buy
Market Purchase,Karan Paul,2026-03-19,2026-03-20,71322,0.03,44280,0.02,Apeejay Surrendra Park Hotels Limited,2026-03-21,2026-03-20,Director,27042,Equity Shares,2984367,Equity Shares,PARKHOTELS,Buy
Market Purchase,Priya Paul,2026-03-20,2026-03-20,18200,0.01,Nil,0,Apeejay Surrendra Park Hotels Limited,2026-03-21,2026-03-20,Director,18200,Equity Shares,1988350,Equity Shares,PARKHOTELS,Buy
Market Purchase,Gallantt Industry Private Limited,2026-03-20,2026-03-20,2565475,1.06,2541120,1.05,Gallantt Ispat Limited,2026-03-21,2026-03-21,Promoter Group,24355,Equity Shares,13465918,Equity Shares,GALLANTT,Buy
Market Purchase,Saritha Devi Chilakapati,2026-03-18,2026-03-20,3322428,25.67,3309228,25.57,Innomet Advanced Materials Limited,2026-03-21,2026-03-21,Promoters,13200,Equity Shares,960480,Equity Shares,INNOMET,Buy
Market Purchase,Saritha Devi Chilakapati,2026-03-18,2026-03-20,3322428,25.67,3309228,25.57,Innomet Advanced Materials Limited,2026-03-21,2026-03-21,Promoters,13200,Equity Shares,960480,Equity Shares,INNOMET,Buy
Market Purchase,V.K. Mercantile Private Limited,2026-03-20,2026-03-20,8004670,14.11,7974670,14.06,Dollar Industries Limited,2026-03-21,2026-03-21,Promoter Group,30000,Equity Shares,7653300,Equity Shares,DOLLAR,Buy
Market Purchase,NAVIN CHAND SUCHANTI,2026-03-19,2026-03-20,3244366,6.33,3186457,6.22,Sinclairs Hotels Limited,2026-03-21,2026-03-21,Promoters,57909,Equity Shares,4352870,Equity Shares,SINCLAIR,Buy
Market Purchase,D L MILLAR & CO LTD,2026-03-19,2026-03-19,14750467,14.08,14734175,14.06,Premier Polyfilm Limited,2026-03-21,2026-03-21,Promoter Group,16292,Equity Shares,936627,Equity Shares,PREMIERPOL,Buy
Market Purchase,D L MILLAR & CO LTD,2026-03-19,2026-03-19,14734175,14.06,14732075,14.06,Premier Polyfilm Limited,2026-03-21,2026-03-21,Promoter Group,2100,Equity Shares,120855,Equity Shares,PREMIERPOL,Buy
Market Purchase,Sambhav Starch Products Pvt Ltd,2026-03-20,2026-03-20,10661250,5.85,10651250,5.84,Sanstar Limited,2026-03-21,2026-03-21,Promoter Group,10000,Equity Shares,823355,Equity Shares,SANSTAR,Buy
Market Purchase,Gujarat Narmada Valley Fertilizers And Chemicals Limited,2026-03-20,2026-03-20,2494365,3.4,2034025,2.77,Gujarat Alkalies and Chemicals Limited,2026-03-21,2026-03-21,Promoters,460340,Equity Shares,228288373,Equity Shares,GUJALKALI,Buy
