Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts,Date
Client,170574,77994,2958889,284249,2264281,1585464,2265276,2077839,1797042,658917,1202721,1070749,9435167,6978828,03-12-2025
DII,70205,44602,184628,4694262,2950,26224,0,0,475,15046,108562,672,299528,4848098,03-12-2025
FII,22201,135670,3559664,2225315,479820,632883,490779,341811,66913,89565,113106,73469,4851046,3380150,03-12-2025
Pro,28259,32973,758481,257836,805700,855881,796696,680801,773819,949414,1213860,568052,4171554,3550219,03-12-2025
TOTAL,291239,291239,7461662,7461662,3552751,3100452,3552751,3100452,2638249,1712942,2638249,1712942,18757295,18757295,03-12-2025
Client,166767,75511,2941743,290089,2436953,1858142,2447889,2356013,1841240,692495,1236073,1082209,9937339,7487784,04-12-2025
DII,70419,44423,177798,4694282,2950,26224,0,0,475,15410,123652,652,293276,4863009,04-12-2025
FII,20426,142956,3568873,2215701,492007,668844,529167,378045,69676,91114,117124,77775,4910940,3460768,04-12-2025
Pro,35940,30662,770636,258978,808631,922335,763484,741486,800480,959216,1235022,597599,4297238,3627231,04-12-2025
TOTAL,293552,293552,7459050,7459050,3740540,3475545,3740540,3475545,2711871,1758235,2711871,1758235,19438793,19438793,04-12-2025
Client,162541,76461,2949239,296206,2277858,2561829,2398995,2939540,1899483,752960,1306393,1114584,10603910,8132179,05-12-2025
DII,70563,35595,183021,4717312,2950,28324,0,0,475,16383,145108,612,301716,4898627,05-12-2025
FII,22996,144298,3607359,2235486,537053,756389,522684,498217,76808,91544,132826,92332,5092149,3625843,05-12-2025
Pro,28931,28677,775517,266132,898787,1103778,794969,1012562,872511,983468,1264950,636827,4662991,4004117,05-12-2025
TOTAL,285031,285031,7515136,7515136,3716647,4450319,3716647,4450319,2849277,1844355,2849277,1844355,20660766,20660766,05-12-2025
Client,170834,82312,2937790,302202,3853738,2109552,3558270,2627965,2154743,745120,1350997,1145539,11971777,9067285,08-12-2025
DII,70830,35595,197069,4720771,2975,25424,50,0,475,16441,186405,682,313214,4943503,08-12-2025
FII,22045,160574,3614111,2260313,666672,739535,780842,408074,85526,104104,137711,94404,5231993,3841918,08-12-2025
Pro,49642,34870,811703,277387,1368597,1051341,1552820,889812,864360,1038142,1429991,663182,5183785,4848063,08-12-2025
TOTAL,313351,313351,7560673,7560673,5891982,3925851,5891982,3925851,3105104,1903807,3105104,1903807,22700768,22700768,08-12-2025
Client,177491,85409,2933805,300458,2022569,1291393,1859791,1732972,2227224,745181,1381523,1155620,9397663,6515774,09-12-2025
DII,69656,33845,200066,4753169,2950,25514,0,0,475,16681,217144,682,315342,5004840,09-12-2025
FII,19606,162104,3624204,2249295,422696,608159,465596,293969,90434,107479,140986,98978,4872577,3410928,09-12-2025
Pro,54972,40367,821862,277015,602574,727804,725400,625928,887872,1062759,1466352,676820,4157842,3811882,09-12-2025
TOTAL,321725,321725,7579937,7579937,3050788,2652869,3050788,2652869,3206005,1932100,3206005,1932100,18743424,18743424,09-12-2025
Client,181516,87056,2941415,311543,2713569,1492388,2461636,1993895,2406836,776224,1435979,1183790,10511948,7473900,10-12-2025
DII,69270,34210,197272,4736616,2950,24714,0,0,475,16816,233764,722,311497,5005312,10-12-2025
FII,20126,168465,3619602,2261296,526432,650118,560179,335668,91466,110709,152730,104026,5018453,3582364,10-12-2025
Pro,61177,42358,842309,291143,846567,862225,1067702,699881,906612,1094597,1582916,709808,4613486,4393808,10-12-2025
TOTAL,332089,332089,7600598,7600598,4089517,3029444,4089517,3029444,3405389,1998346,3405389,1998346,20455383,20455383,10-12-2025
Client,180958,84891,2933095,311065,2575784,2120023,2524671,2478077,2362050,831825,1460099,1190807,11003735,8049611,11-12-2025
DII,69574,34210,201654,4759713,2950,24154,0,0,475,17083,250224,842,315890,5044989,11-12-2025
FII,21817,168801,3641360,2240012,527492,666359,560986,401442,93421,111935,151613,107128,5062384,3629982,11-12-2025
Pro,50497,34944,826884,292203,855380,870093,875948,801109,942679,1084343,1536689,746409,4629875,4287302,11-12-2025
TOTAL,322846,322846,7602993,7602993,3961605,3680628,3961605,3680628,3398625,2045186,3398625,2045186,21011883,21011883,11-12-2025
Client,181060,81784,2955084,321831,2489299,2605879,2481809,2939048,2363695,890435,1484738,1209810,11485452,8519020,12-12-2025
DII,77347,34210,206960,4762076,2950,24154,0,0,475,17083,268672,788,328969,5065746,12-12-2025
FII,19016,169432,3663171,2253979,561157,729096,545033,480612,97832,116141,153005,112554,5186412,3714615,12-12-2025
Pro,45887,37884,818871,306200,908241,1062157,934805,1001625,982311,1088485,1537898,788992,4905952,4607404,12-12-2025
TOTAL,323310,323310,7644086,7644086,3961647,4421286,3961647,4421286,3444313,2112144,3444313,2112144,21906785,21906785,12-12-2025
Client,181434,80557,2980750,323478,2785325,3035358,2746010,3259055,2467098,915992,1513408,1229313,12365957,9151821,15-12-2025
DII,77399,34310,216404,4761125,2950,24154,0,0,475,17083,271624,833,338465,5067892,15-12-2025
FII,19976,167901,3650541,2274698,598241,763103,603860,527370,100426,120619,162286,118819,5252906,3854934,15-12-2025
Pro,39344,35385,821261,309655,1001683,1227467,1038328,1263658,976592,1096075,1597273,800804,5162422,5045103,15-12-2025
TOTAL,318153,318153,7668956,7668956,4388198,5050082,4388198,5050082,3544591,2149769,3544591,2149769,23119750,23119750,15-12-2025
Client,185127,81585,2995240,340347,2016000,1369341,1860856,1770365,2630774,895536,1541665,1250311,10092019,6845129,16-12-2025
DII,77512,33337,220461,4752558,2950,24306,0,0,475,17396,272918,833,343100,5059646,16-12-2025
FII,17353,174198,3615421,2285804,417734,588565,445117,297351,106966,123957,174077,127217,4869996,3503765,16-12-2025
Pro,48079,38951,860696,313109,610942,688401,741652,602897,962179,1142257,1711734,800785,4312554,4209128,16-12-2025
TOTAL,328071,328071,7691818,7691818,3047626,2670613,3047626,2670613,3700394,2179146,3700394,2179146,19617668,19617668,16-12-2025
Client,187955,80555,3001628,353091,2648148,1641941,2485821,2071966,2721382,906961,1564379,1260810,11108015,7816623,17-12-2025
DII,78593,33337,222592,4747410,5877,20956,0,0,475,17460,278082,833,345953,5059662,17-12-2025
FII,16062,180712,3626053,2308334,508459,645027,555516,359801,113359,134950,182002,132356,5043909,3718721,17-12-2025
Pro,50708,38714,891565,333003,900804,821522,1021951,697678,967043,1154989,1777796,820361,4786631,4689503,17-12-2025
TOTAL,333318,333318,7741838,7741838,4063288,3129445,4063288,3129445,3802259,2214360,3802259,2214360,21284508,21284508,17-12-2025
Client,187049,81375,2988065,358522,2735715,1904307,2649256,2319578,2671999,937076,1563945,1268218,11424211,8240895,18-12-2025
DII,78344,33257,229052,4752763,5877,20156,0,0,475,17460,287013,833,351364,5073866,18-12-2025
FII,16149,181631,3671498,2322714,543918,656757,585386,385525,115498,139193,186885,139147,5143013,3801288,18-12-2025
Pro,46791,32070,903311,357927,932038,888349,982905,764465,1008248,1158016,1758377,843547,4936753,4739292,18-12-2025
TOTAL,328333,328333,7791926,7791926,4217547,3469569,4217547,3469569,3796220,2251745,3796220,2251745,21855340,21855340,18-12-2025
Client,176141,79242,2969369,345278,2510729,2499506,2588029,2870620,2553629,1002288,1558955,1273646,11711662,8715770,19-12-2025
DII,78300,33257,232552,4789686,5877,20656,0,0,475,17460,287145,833,355320,5110921,19-12-2025
FII,17001,175786,3724896,2308060,573262,715180,556577,492071,117147,137772,192076,144913,5285258,3869482,19-12-2025
Pro,45247,28404,915252,399045,950120,1111625,895382,984276,1069102,1165726,1702177,903854,5257072,4913138,19-12-2025
TOTAL,316689,316689,7842069,7842069,4039987,4346967,4039987,4346967,3740353,2323246,3740353,2323246,22609312,22609312,19-12-2025
Client,169589,81409,2971247,347137,2439589,3169681,2535939,3365710,2522481,1081649,1552651,1286764,12354236,9169610,22-12-2025
DII,77950,33257,235861,4788760,5877,22274,0,0,475,18132,296448,1125,360569,5119590,22-12-2025
FII,21336,166037,3736025,2306484,566281,814734,508124,614038,118048,149226,193090,155568,5405650,3943341,22-12-2025
Pro,41891,30063,936181,436933,944409,1197662,912093,1224604,1120817,1182847,1719632,988397,5423808,5311721,22-12-2025
TOTAL,310766,310766,7879314,7879314,3956156,5204351,3956156,5204351,3761821,2431854,3761821,2431854,23544262,23544262,22-12-2025
Client,165119,83052,2969134,343199,1737993,1712999,1736838,1977697,2489226,1067154,1537800,1290738,10141625,6969323,23-12-2025
DII,77185,34057,234647,4792558,5877,22113,0,0,475,18562,297273,1183,358859,5125071,23-12-2025
FII,22931,156689,3759315,2300460,427599,573085,406207,368956,117843,159174,189518,147145,5059947,3568975,23-12-2025
Pro,39935,31372,947830,474709,651407,697376,679831,658921,1144366,1198380,1727319,1004204,4679294,4576356,23-12-2025
TOTAL,305170,305170,7910926,7910926,2822876,3005574,2822876,3005574,3751910,2443270,3751910,2443270,20239725,20239725,23-12-2025
Client,165416,83374,2973863,338681,2366721,1957251,2316704,2347954,2451581,1026596,1514357,1283381,10941428,7884451,24-12-2025
DII,67560,34017,240507,4785422,5847,22029,0,0,486,18802,298722,1166,355231,5119327,24-12-2025
FII,21361,150412,3764653,2295404,515923,648076,518345,425259,121626,148205,177311,135480,5219844,3702211,24-12-2025
Pro,46089,32623,890142,449658,848469,898445,901911,752587,1162386,1204435,1745689,978011,5049966,4860480,24-12-2025
TOTAL,300426,300426,7869165,7869165,3736960,3525801,3736960,3525801,3736079,2398038,3736079,2398038,21566469,21566469,24-12-2025
Client,174852,76145,2976077,344837,3067194,1918515,2940065,2433331,2427605,987175,1491923,1256520,11551418,8542821,26-12-2025
DII,70999,34382,243129,4803478,6847,21990,0,0,450,19025,281932,1092,362440,5120884,26-12-2025
FII,19756,158909,3769173,2281161,645748,703783,659701,428888,109834,141804,167532,125101,5390098,3821292,26-12-2025
Pro,40680,36851,883687,442590,1076429,1006984,1196451,789053,1127994,1176233,1724496,941524,5312007,5130965,26-12-2025
TOTAL,306287,306287,7872066,7872066,4796218,3651272,4796218,3651272,3665883,2324237,3665883,2324237,22615963,22615963,26-12-2025
Client,181030,73102,2977337,334771,3543004,2050015,3393394,2531102,2310549,909428,1413969,1191284,11971363,8937622,29-12-2025
DII,76173,35824,250700,4811013,6847,26005,0,0,450,22919,279170,1092,383094,5127099,29-12-2025
FII,29097,184037,3771181,2291754,698906,720964,717867,446951,90235,118330,164255,110568,5428713,3915432,29-12-2025
Pro,44675,38012,885529,447209,1274496,1034217,1411992,853148,1111649,1164484,1655489,912217,5515050,5318067,29-12-2025
TOTAL,330975,330975,7884747,7884747,5523253,3831201,5523253,3831201,3512883,2215161,3512883,2215161,23298220,23298220,29-12-2025
Client,179953,61740,2858937,276509,1508410,1073612,1544828,1473551,1036318,454259,659642,662931,7111489,4679201,30-12-2025
DII,70397,36822,142138,4744409,0,17495,0,0,0,17118,24761,194,247148,4806186,30-12-2025
FII,15462,159524,3747664,2186797,261076,441109,292194,206045,22195,46480,41028,15000,4533986,2900588,30-12-2025
Pro,26070,33796,685349,226373,575176,646516,507641,499136,397563,546652,730645,386384,2877326,2383975,30-12-2025
TOTAL,291882,291882,7434088,7434088,2344663,2178732,2344663,2178732,1456076,1064509,1456076,1064509,14769950,14769950,30-12-2025
Client,178583,62737,2856590,283851,1748124,2064562,1956511,2349588,1174802,556288,799866,752698,8578949,6205251,31-12-2025
DII,74516,36532,145107,4767701,0,21747,0,0,0,21770,70592,296,263140,4875121,31-12-2025
FII,15701,161587,3789837,2186335,355544,585571,342596,346330,43283,65451,65474,39398,4855387,3141721,31-12-2025
Pro,30370,38314,687033,240680,795765,951105,600325,927067,550204,639224,832357,490341,3653701,3129084,31-12-2025
TOTAL,299170,299170,7478567,7478567,2899432,3622985,2899432,3622985,1768289,1282733,1768289,1282733,17351176,17351176,31-12-2025
Client,180631,63887,2907292,296533,2318315,2438308,2427889,2726287,1343492,629277,911168,850195,9817315,7275959,01-01-2026
DII,75176,36532,151614,4781311,0,21797,0,0,0,21820,110850,336,270407,4929029,01-01-2026
FII,16725,160651,3791169,2199975,400224,590943,386868,369634,51849,73953,78853,48965,4924863,3244946,01-01-2026
Pro,29653,41115,691724,263980,897660,1042107,801441,997235,635569,714805,930039,540359,4011518,3574169,01-01-2026
TOTAL,302185,302185,7541799,7541799,3616199,4093155,3616199,4093155,2030910,1439855,2030910,1439855,19024103,19024103,01-01-2026
Client,175995,71886,2917198,307871,2342574,3464225,2676515,3634593,1459477,717582,1039324,923033,11077051,8653222,02-01-2026
DII,79879,38390,175024,4782243,0,23397,0,0,0,22000,160350,336,300300,4981319,02-01-2026
FII,19263,149509,3797976,2205577,455502,665567,387192,509318,69590,81809,90829,57760,5089707,3400184,02-01-2026
Pro,29237,44589,695717,290224,968617,1228195,702987,1237473,797292,783490,1035856,623752,4502548,3934881,02-01-2026
TOTAL,304374,304374,7585915,7585915,3766693,5381385,3766693,5381385,2326359,1604881,2326359,1604881,20969606,20969606,02-01-2026
Client,175238,72318,2934136,315014,3130304,2981224,3126433,3301311,1678225,751439,1098917,984778,11650566,8898771,05-01-2026
DII,79696,38390,181988,4741792,0,23397,0,0,0,22000,215196,336,307081,4995714,05-01-2026
FII,19111,147134,3783346,2237646,558198,689832,560251,478627,80602,96644,106684,72441,5227733,3602783,05-01-2026
Pro,31204,47407,705120,310138,1128865,1175889,1130683,1090404,859558,870494,1197588,683022,4771130,4459242,05-01-2026
TOTAL,305249,305249,7604590,7604590,4817367,4870342,4817367,4870342,2618385,1740577,2618385,1740577,21956510,21956510,05-01-2026
Client,180406,74219,2960358,323367,1807621,1506469,1915433,1835217,1891698,794539,1177455,1053352,9141092,6379043,06-01-2026
DII,79746,38390,192316,4748743,0,22412,0,0,0,22000,260889,486,316474,5048508,06-01-2026
FII,21830,149718,3797157,2282707,400769,547400,366366,328724,91560,111985,125220,84325,4970701,3337060,06-01-2026
Pro,31665,51320,734139,329153,763546,772068,690138,684408,927520,955244,1347214,745605,4184182,3847838,06-01-2026
TOTAL,313647,313647,7683970,7683970,2971936,2848349,2971936,2848349,2910778,1883768,2910778,1883768,18612448,18612448,06-01-2026
Client,181912,72087,2969968,326580,2432396,1832815,2487507,2233984,2066331,830181,1252891,1101581,10313602,7474629,07-01-2026
DII,80112,38390,192065,4757009,0,22412,0,0,0,22523,308374,546,317112,5104319,07-01-2026
FII,17287,153559,3793690,2303027,476395,613246,456944,389906,101535,124408,140598,95576,5126561,3539610,07-01-2026
Pro,30183,45458,761978,331085,857677,978026,822017,822609,1003408,1011849,1469411,791258,4643121,4281839,07-01-2026
TOTAL,309494,309494,7717701,7717701,3766468,3446499,3766468,3446499,3171274,1988961,3171274,1988961,20400397,20400397,07-01-2026
Client,194862,74596,2958422,316757,3584548,1898656,3392537,2356183,2270365,789991,1299919,1133205,11696844,8573197,08-01-2026
DII,76328,38759,207507,4747809,0,21132,0,0,0,23080,338118,696,328047,5125382,08-01-2026
FII,17618,184965,3780276,2345501,595306,708632,677443,453251,113211,145578,156751,104422,5360622,3922333,08-01-2026
Pro,53374,43862,804730,340868,1177022,1100441,1286896,919428,1018149,1089771,1606937,810097,5243487,5008088,08-01-2026
TOTAL,342182,342182,7750935,7750935,5356876,3728862,5356876,3728862,3401725,2048420,3401725,2048420,22629000,22629000,08-01-2026
Client,202665,74420,2932663,315433,3876389,2011146,3737764,2517827,2414392,761074,1341326,1144152,12198328,9130922,09-01-2026
DII,76831,38685,207808,4771673,7103,22893,0,0,0,23832,361696,839,338467,5172893,09-01-2026
FII,16500,202563,3797317,2351665,777766,784362,806813,498941,123286,153773,166413,110681,5653004,4137076,09-01-2026
Pro,62126,42454,843055,342072,1562426,1215947,1679106,1017580,1049167,1133329,1717410,816336,5866049,5614958,09-01-2026
TOTAL,358122,358122,7780843,7780843,6223683,4034348,6223683,4034348,3586845,2072008,3586845,2072008,24055849,24055849,09-01-2026
Client,206509,73546,2948118,313237,3694690,2828751,3653020,3309960,2499107,789470,1389177,1150745,12966646,9889686,12-01-2026
DII,76549,38273,216040,4819092,2103,28546,0,0,0,23832,375854,1199,347070,5234418,12-01-2026
FII,17819,211228,3805862,2350975,680685,887279,686219,621241,145011,160839,176135,119304,5697495,4165102,12-01-2026
Pro,60578,38408,862171,348887,1373759,1431947,1411998,1245322,1060883,1140560,1763835,843453,5929898,5651903,12-01-2026
TOTAL,361455,361455,7832191,7832191,5751237,5176523,5751237,5176523,3705001,2114701,3705001,2114701,24941109,24941109,12-01-2026
Client,210598,73203,2950161,316792,2183341,1471800,2066908,1895841,2653070,807494,1438308,1175458,10276464,6966510,13-01-2026
DII,76219,37482,230448,4808646,2103,27826,0,0,0,23832,392442,899,360428,5239469,13-01-2026
FII,17546,215201,3803240,2383988,432612,615309,465595,333553,159138,175132,191133,133775,5202977,3723244,13-01-2026
Pro,60242,38719,883461,357884,716231,776907,801784,662448,1078260,1157755,1868585,854081,4672856,4583501,13-01-2026
TOTAL,364605,364605,7867310,7867310,3334287,2891842,3334287,2891842,3890468,2164213,3890468,2164213,20512725,20512725,13-01-2026
Client,210834,72967,2970059,324944,2715647,1824317,2629538,2255397,2705763,846044,1496293,1212355,11272664,7991493,14-01-2026
DII,77915,36846,239850,4833812,12758,27126,0,0,205,23832,402308,558,381686,5273524,14-01-2026
FII,17851,216985,3821973,2397085,563719,725949,616832,455001,180610,193963,206278,149345,5504065,4041526,14-01-2026
Pro,58998,38800,905591,381632,1041425,1010040,1087180,877034,1160271,1203267,1941970,904848,5379592,5231464,14-01-2026
TOTAL,365598,365598,7937473,7937473,4333550,3587432,4333550,3587432,4046849,2267106,4046849,2267106,22538007,22538007,14-01-2026
Client,207613,68886,2990191,329786,3292547,2201108,3265815,2732477,2823531,883193,1565025,1262757,12398183,9224746,16-01-2026
DII,77882,36365,251907,4858241,2103,38226,0,0,305,23832,403251,606,394255,5298463,16-01-2026
FII,21814,212189,3828614,2394779,695782,795533,695041,476720,191287,208238,220387,162939,5741269,4162055,16-01-2026
Pro,54980,44849,932953,420859,1298514,1166888,1328090,992559,1236073,1276575,2062533,965536,5965983,5814426,16-01-2026
TOTAL,362289,362289,8003665,8003665,5288946,4201755,5288946,4201755,4251196,2391838,4251196,2391838,24499690,24499690,16-01-2026
Client,210605,67909,3008230,329446,3914575,2676757,3805628,3154999,2963952,910511,1597292,1265681,13684630,10220955,19-01-2026
DII,77866,36281,258231,4838104,2103,37421,0,0,305,23832,440489,606,399758,5315480,19-01-2026
FII,22607,215704,3832704,2428013,743735,841401,772099,539435,201086,218729,241727,180018,5860262,4376996,19-01-2026
Pro,52506,43690,966859,470461,1434349,1281087,1517034,1142232,1248217,1293388,2134052,1000155,6276406,6307625,19-01-2026
TOTAL,363584,363584,8066024,8066024,6094761,4836666,6094761,4836666,4413560,2446460,4413560,2446460,26221055,26221055,19-01-2026
Client,224010,75707,2955203,321546,2568831,1383083,2292884,1816169,2936341,806863,1551955,1217792,10874331,7276053,20-01-2026
DII,75928,35088,261075,4799946,2303,37453,107,0,305,24434,444347,779,401498,5280267,20-01-2026
FII,22659,224226,3866269,2463549,482542,681612,542656,372373,207583,237548,251826,182523,5498213,4037153,20-01-2026
Pro,59259,46835,1006669,504175,796168,744796,1014196,658403,1242480,1300205,2138581,967956,5149577,5330146,20-01-2026
TOTAL,381856,381856,8089216,8089216,3849844,2846944,3849844,2846944,4386709,2369050,4386709,2369050,21923619,21923619,20-01-2026
