Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts,Date
DII,71015,40103,203693,4209068,950,44854,0,0,3296,0,214344,0,323808,4463515,21-08-2025
FII,22225,190275,3522787,2148415,277304,444635,292269,182101,102637,131079,111247,89128,4500667,3013435,21-08-2025
Pro,52908,27210,814234,415669,613543,715421,635865,615942,857551,928371,1351853,798878,3982028,3845417,21-08-2025
TOTAL,343409,343409,7091584,7091584,2635605,2632595,2635605,2632595,2959271,2008395,2959271,2008395,17670859,17670859,21-08-2025
Client,203646,86598,2551009,310372,2750710,1520370,2739687,2100450,2019751,899360,1283055,1115044,9944846,7635206,22-08-2025
DII,70088,41103,215697,4182884,950,44854,0,0,3296,0,211760,0,334885,4435747,22-08-2025
FII,23354,194863,3513079,2167014,381017,527827,440409,233258,100014,134738,112994,86126,4680029,3234664,22-08-2025
Pro,53553,28077,787485,407000,1153223,915313,1105804,674656,855554,935096,1370806,768024,4700224,4354368,22-08-2025
TOTAL,350641,350641,7067270,7067270,4285900,3008364,4285900,3008364,2978615,1969194,2978615,1969194,19659984,19659984,22-08-2025
Client,203063,87442,2525888,313147,2679412,1913487,2766256,2379658,1911876,889099,1248165,1088152,10122825,7882820,25-08-2025
DII,68632,41103,234599,4187175,370,44854,0,0,3423,0,211006,0,351878,4439284,25-08-2025
FII,31241,201479,3533216,2171715,400256,549594,447635,287892,97131,129348,103591,80840,4740785,3293152,25-08-2025
Pro,53135,26047,782975,404641,1215491,952082,1081638,792466,863877,912092,1313545,761547,4779652,4379884,25-08-2025
TOTAL,356071,356071,7076678,7076678,4295529,3460016,4295529,3460016,2876307,1930539,2876307,1930539,19995140,19995140,25-08-2025
Client,209787,86446,2547493,302713,3123990,1657634,3024398,2185212,1752503,782407,1159630,1031328,10073813,7789727,26-08-2025
DII,69308,42009,250342,4224558,370,44854,0,0,3153,0,211348,0,368027,4477915,26-08-2025
FII,35491,212420,3502113,2143516,469122,591883,522034,300349,89801,121425,98342,71103,4809835,3347765,26-08-2025
Pro,51851,25562,770335,399496,1305409,1001448,1352458,810257,836329,906282,1212466,707683,4871655,4507923,26-08-2025
TOTAL,366437,366437,7070283,7070283,4898891,3295819,4898891,3295819,2681786,1810114,2681786,1810114,20123330,20123330,26-08-2025
Client,207664,80029,2440645,230215,1723523,1138505,1628867,1551395,774317,386021,532989,613287,6670675,4636783,28-08-2025
DII,73646,37480,155211,4126575,370,22179,0,0,1853,0,1108,0,253259,4165163,28-08-2025
